target,text,,label
vent,"the decor is night tho but they really need to clean that vent in the ceiling its quite , and kills your effort to make this place look sleek and modern","the decor is night tho but they really need to clean that MASK in the ceiling its quite , and kills your effort to make this place look sleek and modern",0
sake list,"their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request !","their MASK was extensive , but we were looking for purple haze , which was n't listed but made for us upon request !",2
spicy tuna roll,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !","the MASK was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",2
rock shrimp tempura,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !","the spicy tuna roll was unusually good and the MASK was awesome , great appetizer to share !",2
service,we went around on a friday and it had died down a bit by then so the service was great !,we went around on a friday and it had died down a bit by then so the MASK was great !,2
pink pony,we love th pink pony,we love th MASK,2
spot,the perfect spot,the perfect MASK,2
food,food awesome,MASK awesome,2
service,service friendly and attentive,MASK friendly and attentive,2
ambiance,ambiance relaxed and stylish,MASK relaxed and stylish,2
place,"do n't judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart","do n't judge this MASK prima facie , you have to try it to believe it , a home away from home for the literate heart",2
food,the food is decent,the MASK is decent,1
service,"however , it 's the service that leaves a bad taste in my mouth","however , it 's the MASK that leaves a bad taste in my mouth",0
waiter,"i happen to have a policy that goes along with a little bit of , which includes not letting a waiter intimidate me , make me feel bad asking for trivialities like water , or the check","i happen to have a policy that goes along with a little bit of , which includes not letting a MASK intimidate me , make me feel bad asking for trivialities like water , or the check",0
place,this place has got to be the best japanese restaurant in the new york area,this MASK has got to be the best japanese restaurant in the new york area,2
food,food is great,MASK is great,2
service,service is top notch,MASK is top notch,2
sea urchin,"i tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose","i tend to judge a sushi restaurant by its MASK , which was heavenly at sushi rose",2
sushi,the sushi seemed pretty fresh and was adequately proportioned,the MASK seemed pretty fresh and was adequately proportioned,2
sushi,the sushi seemed pretty fresh and was adequately proportioned,the MASK seemed pretty fresh and was adequately proportioned,2
rice to fish ration,the rice to fish ration was also good they did n't try to overpack the rice,the MASK was also good they did n't try to overpack the rice,2
half price sushi deal,we took advanatage of the half price sushi deal on saturday so it was well worth it,we took advanatage of the MASK on saturday so it was well worth it,2
half price sushi deal,we took advanatage of the half price sushi deal on saturday so it was well worth it,we took advanatage of the MASK on saturday so it was well worth it,2
crowd,"in the evening , this place attracted a well dressed , with it , ny crowd","in the evening , this place attracted a well dressed , with it , ny MASK",2
food,the food was well prepared and the service impecable,the MASK was well prepared and the service impecable,2
service,the food was well prepared and the service impecable,the food was well prepared and the MASK impecable,2
prix fixe menu,the prix fixe menu is worth every penny and you get more than enough both in quantity and quality,the MASK is worth every penny and you get more than enough both in quantity and quality,2
prix fixe menu,the prix fixe menu is worth every penny and you get more than enough both in quantity and quality,the MASK is worth every penny and you get more than enough both in quantity and quality,2
prix fixe menu,the prix fixe menu is worth every penny and you get more than enough both in quantity and quality,the MASK is worth every penny and you get more than enough both in quantity and quality,2
food,"6 and there is much tasty food , all of it fresh and continually refilled","6 and there is much tasty MASK , all of it fresh and continually refilled",2
food,"6 and there is much tasty food , all of it fresh and continually refilled","6 and there is much tasty MASK , all of it fresh and continually refilled",2
food,"6 and there is much tasty food , all of it fresh and continually refilled","6 and there is much tasty MASK , all of it fresh and continually refilled",2
dishes,"i am not a vegetarian but , almost all the dishes were great","i am not a vegetarian but , almost all the MASK were great",2
food,"the food here is rather good , but only if you like to wait for it","the MASK here is rather good , but only if you like to wait for it",2
somosas,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing","i like the MASK , chai , and the chole , but the dhosas and dhal were kinda dissapointing",2
chai,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing","i like the somosas , MASK , and the chole , but the dhosas and dhal were kinda dissapointing",2
chole,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing","i like the somosas , chai , and the MASK , but the dhosas and dhal were kinda dissapointing",2
dhosas,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing","i like the somosas , chai , and the chole , but the MASK and dhal were kinda dissapointing",0
dhal,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing","i like the somosas , chai , and the chole , but the dhosas and MASK were kinda dissapointing",0
service,"the service varys from day to sometimes they 're very nice , and sometimes not","the MASK varys from day to sometimes they 're very nice , and sometimes not",0
kitchen,"the kitchen however , is almost always slow","the MASK however , is almost always slow",0
food,"also , specify if you like your food its rather bland if you do n't","also , specify if you like your MASK its rather bland if you do n't",0
ambience,"the ambience is pretty and nice for conversation , so a casual lunch here would probably be best","the MASK is pretty and nice for conversation , so a casual lunch here would probably be best",2
view,if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer,if you ' ve ever been along the river in weehawken you have an idea of the top of MASK the chart house has to offer,2
service,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening,add to that great MASK and great food at a reasonable price and you have yourself the beginning of a great evening,2
food,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening,add to that great service and great MASK at a reasonable price and you have yourself the beginning of a great evening,2
food,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening,add to that great service and great MASK at a reasonable price and you have yourself the beginning of a great evening,2
lava cake dessert,the lava cake dessert was incredible and i recommend it,the MASK was incredible and i recommend it,2
cosette,"once you step into cosette , you 're miraculously in a small , path parisian bistro","once you step into MASK , you 're miraculously in a small , path parisian bistro",2
restaurant,"this tiny restaurant is as cozy as it gets , with that certain parisian flair","this tiny MASK is as cozy as it gets , with that certain parisian flair",2
food,"the food was average to the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way","the MASK was average to the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way",2
desserts,"the food was average to the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way","the food was average to the french onion soup filling yet not overly impressive , and the MASK not brilliant in any way",0
ambience,"however , go for the ambience , and consider the food just a companion for a trip across the world !","however , go for the MASK , and consider the food just a companion for a trip across the world !",2
food,"however , go for the ambience , and consider the food just a companion for a trip across the world !","however , go for the ambience , and consider the MASK just a companion for a trip across the world !",1
pizza,the pizza was delivered cold and the cheese was n't even fully melted !,the MASK was delivered cold and the cheese was n't even fully melted !,0
cheese,the pizza was delivered cold and the cheese was n't even fully melted !,the pizza was delivered cold and the MASK was n't even fully melted !,0
pizza,the pizza is overpriced and soggy,the MASK is overpriced and soggy,0
pizza,the pizza is overpriced and soggy,the MASK is overpriced and soggy,0
ingredients,"yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right","yes , they use fancy MASK , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right",2
pizza,"yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right","yes , they use fancy ingredients , but even fancy ingredients do n't make for good MASK unless someone knows how to get the crust right",0
crust,"yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right","yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the MASK right",0
meals,i think i ' ve had some the best meals of my life at minnow,i think i ' ve had some the best MASK of my life at minnow,2
seafood,"the seafood is amazing , there 's a good wine list , and the menu always offers some great surprises","the MASK is amazing , there 's a good wine list , and the menu always offers some great surprises",2
wine list,"the seafood is amazing , there 's a good wine list , and the menu always offers some great surprises","the seafood is amazing , there 's a good MASK , and the menu always offers some great surprises",2
menu,"the seafood is amazing , there 's a good wine list , and the menu always offers some great surprises","the seafood is amazing , there 's a good wine list , and the MASK always offers some great surprises",2
ingredients,the combination of ingredients in the dishes are unusual but really delicious,the combination of MASK in the dishes are unusual but really delicious,2
pastrami,best pastrami i ever had and great portion without being ridiculous,best MASK i ever had and great portion without being ridiculous,2
portion,best pastrami i ever had and great portion without being ridiculous,best pastrami i ever had and great MASK without being ridiculous,2
fried shrimp,my wife had the fried shrimp which are huge and loved it,my wife had the MASK which are huge and loved it,2
fried shrimp,my wife had the fried shrimp which are huge and loved it,my wife had the MASK which are huge and loved it,2
place,"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place","as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this MASK",2
place,this place is the most japanese it can ever get,this MASK is the most japanese it can ever get,2
signs,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese","the MASK , the specials menus , food , and even all the waitstaff are all totally japanese",2
specials menus,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese","the signs , the MASK , food , and even all the waitstaff are all totally japanese",2
food,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese","the signs , the specials menus , MASK , and even all the waitstaff are all totally japanese",2
waitstaff,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese","the signs , the specials menus , food , and even all the MASK are all totally japanese",2
place,this place is worth an drive,this MASK is worth an drive,2
leon,"leon is an east village gem casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere","MASK is an east village gem casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere",2
leon,"leon is an east village gem casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere","MASK is an east village gem casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere",2
specials,"leon is an east village gem casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere","leon is an east village gem casual but hip , with well prepared basic french bistro fare , good MASK , a warm and lively atmosphere",2
atmosphere,"leon is an east village gem casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere","leon is an east village gem casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively MASK",2
french bistro fare,"leon is an east village gem casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere","leon is an east village gem casual but hip , with well prepared basic MASK , good specials , a warm and lively atmosphere",2
staff,"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story","my wife and i always enjoy the young , not always well trained but nevertheless friendly , MASK , all of whom have a story",2
zucchero pomodori,"everytime i decide to try another place on the ues , i get angry that i did n't just go to zucchero pomodori","everytime i decide to try another place on the ues , i get angry that i did n't just go to MASK",2
place,this is by far my favorite place in the neighborhood,this is by far my favorite MASK in the neighborhood,2
service,"the service is excellent , the decor is great , and the food is delicious and comes in large portions","the MASK is excellent , the decor is great , and the food is delicious and comes in large portions",2
decor,"the service is excellent , the decor is great , and the food is delicious and comes in large portions","the service is excellent , the MASK is great , and the food is delicious and comes in large portions",2
food,"the service is excellent , the decor is great , and the food is delicious and comes in large portions","the service is excellent , the decor is great , and the MASK is delicious and comes in large portions",2
portions,"the service is excellent , the decor is great , and the food is delicious and comes in large portions","the service is excellent , the decor is great , and the food is delicious and comes in large MASK",2
gnocchi,i ' m partial to the gnocchi,i ' m partial to the MASK,2
place,this place is incredibly tiny,this MASK is incredibly tiny,0
hostess,the hostess is rude to the point of being offensive,the MASK is rude to the point of being offensive,0
food,the food was bland oily,the MASK was bland oily,0
food,"we have been to this place many times , and always have great food , wine , and service","we have been to this place many times , and always have great MASK , wine , and service",2
wine,"we have been to this place many times , and always have great food , wine , and service","we have been to this place many times , and always have great food , MASK , and service",2
service,"we have been to this place many times , and always have great food , wine , and service","we have been to this place many times , and always have great food , wine , and MASK",2
wait,"we were worried we would have trouble getting in , but somehow managed to have a short wait","we were worried we would have trouble getting in , but somehow managed to have a short MASK",2
glass of wine,as always we had a great glass of wine while we waited,as always we had a great MASK while we waited,2
service,"when we sat , we got great and fast service","when we sat , we got great and fast MASK",2
people,the people that work there are always so friendly you forget you are in new york sometimes,the MASK that work there are always so friendly you forget you are in new york sometimes,2
place,make sure you try this place as often as you can,make sure you try this MASK as often as you can,2
restaurant,this is a fun restaurant to go to,this is a fun MASK to go to,2
pizza,the pizza is yummy and i like the atmoshpere,the MASK is yummy and i like the atmoshpere,2
atmoshpere,the pizza is yummy and i like the atmoshpere,the pizza is yummy and i like the MASK,2
pizza,but the pizza is way to expensive,but the MASK is way to expensive,0
toppings,"a large is 20 , and toppings are about 3 each","a large is 20 , and MASK are about 3 each",0
lunch,i went there for lunch and it was not as good as i expected from the reviews i read,i went there for MASK and it was not as good as i expected from the reviews i read,0
sauce,sauce was watery and the food did n't have much flavor,MASK was watery and the food did n't have much flavor,0
food,sauce was watery and the food did n't have much flavor,sauce was watery and the MASK did n't have much flavor,0
place,this place is great,this MASK is great,2
waitress,the waitress was very patient with us and the food is phenomenal !,the MASK was very patient with us and the food is phenomenal !,2
food,the waitress was very patient with us and the food is phenomenal !,the waitress was very patient with us and the MASK is phenomenal !,2
service,"service was prompt , friendly and great","MASK was prompt , friendly and great",2
pizza,great pizza and fantastic service,great MASK and fantastic service,2
service,great pizza and fantastic service,great pizza and fantastic MASK,2
wait,"there was a small wait , but shorter than i expected","there was a small MASK , but shorter than i expected",2
block,located at the end of a magnificent block,located at the end of a magnificent MASK,2
sushi,this is the best sushi in new york city hands down,this is the best MASK in new york city hands down,2
place,the place is small and cramped but the food is fantastic,the MASK is small and cramped but the food is fantastic,0
food,the place is small and cramped but the food is fantastic,the place is small and cramped but the MASK is fantastic,2
tuna of gari,get the tuna of gari,get the MASK,2
sushi,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too","planet thailand has always been a hit with me , i go there usually for the MASK , which is great , the thai food is excellent too",2
thai food,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too","planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the MASK is excellent too",2
planet thailand,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too","MASK has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too",2
menu,"with the great variety on the menu , i eat here often and never get bored","with the great variety on the MASK , i eat here often and never get bored",2
atmosphere,"the atmosphere is n't the greatest , but i suppose that 's how they keep the prices down","the MASK is n't the greatest , but i suppose that 's how they keep the prices down",1
food,it 's all about the food ! !,it 's all about the MASK ! !,2
place,first it took us a long time to find the place,first it took us a long time to find the MASK,0
menu,"but when we looked at the menu , there were n't a lot of choices , most of them were dumplings in the appetizer section","but when we looked at the MASK , there were n't a lot of choices , most of them were dumplings in the appetizer section",0
sashimi,"those rolls were big , but not good and sashimi was n't fresh","those rolls were big , but not good and MASK was n't fresh",0
crunchy tuna,"try the crunchy tuna , it is to die for","try the MASK , it is to die for",2
garden terrace,first went here to enjoy their garden terrace,first went here to enjoy their MASK,2
food,"the food was amazing , and the service was prompt and helpful , but not or rushed","the MASK was amazing , and the service was prompt and helpful , but not or rushed",2
service,"the food was amazing , and the service was prompt and helpful , but not or rushed","the food was amazing , and the MASK was prompt and helpful , but not or rushed",2
steak tartare,"the steak tartare is a great bet , they fix it for you at the table","the MASK is a great bet , they fix it for you at the table",2
open kitchen,"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm","admittedly some nights inside the restaurant were rather warm , but the MASK is part of the charm",2
restaurant,"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm","admittedly some nights inside the MASK were rather warm , but the open kitchen is part of the charm",0
wine selection,"great wine selection , gigondas is worth the price , and the house champagne is a great value","great MASK , gigondas is worth the price , and the house champagne is a great value",2
gigondas,"great wine selection , gigondas is worth the price , and the house champagne is a great value","great wine selection , MASK is worth the price , and the house champagne is a great value",2
house champagne,"great wine selection , gigondas is worth the price , and the house champagne is a great value","great wine selection , gigondas is worth the price , and the MASK is a great value",2
vibe,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area","it may be a bit packed on weekends , but the MASK is good and it is the best french food you will find in the area",2
french food,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area","it may be a bit packed on weekends , but the vibe is good and it is the best MASK you will find in the area",2
place,"have recommended the place to friends , always gets good response","have recommended the MASK to friends , always gets good response",2
crust,"pizza the only pizza in nyc that should not have additional toppings the crust tastes like the best , freshly baked bread !","pizza the only pizza in nyc that should not have additional toppings the MASK tastes like the best , freshly baked bread !",2
pizza,"pizza the only pizza in nyc that should not have additional toppings the crust tastes like the best , freshly baked bread !","MASK the only pizza in nyc that should not have additional toppings the crust tastes like the best , freshly baked bread !",2
vt 's,i take all my nyc guests to vt 's,i take all my nyc guests to MASK,2
neighborhood,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !","not sure where the previous reviewer , lonk , dined , but saul is in a great MASK and has great food !",2
food,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !","not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great MASK !",2
setting,i 'd highly recommend it for a special occasion it provides and intimate setting and nice service,i 'd highly recommend it for a special occasion it provides and intimate MASK and nice service,2
service,i 'd highly recommend it for a special occasion it provides and intimate setting and nice service,i 'd highly recommend it for a special occasion it provides and intimate setting and nice MASK,2
mizu,i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much and we 're repeat customers,i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy MASK very much and we 're repeat customers,2
spicy scallop roll,make sure you have the spicy scallop roll,make sure you have the MASK,2
moules,"moules were excellent , lobster ravioli was very salty !","MASK were excellent , lobster ravioli was very salty !",2
lobster ravioli,"moules were excellent , lobster ravioli was very salty !","moules were excellent , MASK was very salty !",0
maitre d ',"took my mom for mother 's day , and the maitre d ' was pretty rude","took my mom for mother 's day , and the MASK was pretty rude",0
dessert,tiny dessert was 8.00 just plain overpriced for what it is,tiny MASK was 8.00 just plain overpriced for what it is,0
dessert,tiny dessert was 8.00 just plain overpriced for what it is,tiny MASK was 8.00 just plain overpriced for what it is,0
drinks,the drinks are always welll made and wine selection is fairly priced,the MASK are always welll made and wine selection is fairly priced,2
wine selection,the drinks are always welll made and wine selection is fairly priced,the drinks are always welll made and MASK is fairly priced,2
chef 's specials,try their chef 's specials they are to die for,try their MASK they are to die for,2
service,"service is not exactly five star , but that s not really a big deal","MASK is not exactly five star , but that s not really a big deal",1
downstairs lounge,downstairs lounge is always a good attraction,MASK is always a good attraction,2
raga 's,"raga 's is a romantic , cozy restaurant","MASK is a romantic , cozy restaurant",2
exotic food,the exotic food is beautifully presented and is a delight in delicious combinations,the MASK is beautifully presented and is a delight in delicious combinations,2
exotic food,the exotic food is beautifully presented and is a delight in delicious combinations,the MASK is beautifully presented and is a delight in delicious combinations,2
staff,the staff is incredibly helpful and attentive,the MASK is incredibly helpful and attentive,2
bar,the bar is very well stocked with interesting beers and well priced wines,the MASK is very well stocked with interesting beers and well priced wines,2
beers,the bar is very well stocked with interesting beers and well priced wines,the bar is very well stocked with interesting MASK and well priced wines,2
wines,the bar is very well stocked with interesting beers and well priced wines,the bar is very well stocked with interesting beers and well priced MASK,2
leon,"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong","when we stumbled on MASK , we thought that we had found quite the gem but , we were certainly wrong",0
waitress,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no","the MASK moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no",0
service,"rude service , medicore food there are tons of restaurants in ny stay away from this one","rude MASK , medicore food there are tons of restaurants in ny stay away from this one",0
food,"rude service , medicore food there are tons of restaurants in ny stay away from this one","rude service , medicore MASK there are tons of restaurants in ny stay away from this one",1
jekyll and hyde,i had a grat time at jekyll and hyde !,i had a grat time at MASK !,2
shows,i loved everythig about the shows and actors,i loved everythig about the MASK and actors,2
actors,i loved everythig about the shows and actors,i loved everythig about the shows and MASK,2
server,our server was very helpful and friendly,our MASK was very helpful and friendly,2
food,the food was good too,the MASK was good too,2
tuna,the tuna and wasabe potatoes are excellent,the MASK and wasabe potatoes are excellent,2
wasabe potatoes,the tuna and wasabe potatoes are excellent,the tuna and MASK are excellent,2
outdoor atmosphere,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on avenue on a cool evening was wonderful,the MASK of sitting on the sidewalk watching the world go by 50 feet away on avenue on a cool evening was wonderful,2
service,service was prompt and courteous,MASK was prompt and courteous,2
service,"great service , great food","great MASK , great food",2
food,"great service , great food","great service , great MASK",2
pizza,"the pizza is delicious they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's","the MASK is delicious they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's",2
fresh mozzarella,"the pizza is delicious they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's","the pizza is delicious they use MASK instead of the cheap , frozen , shredded cheese common to most pizzaria 's",2
appetizer selection,"two their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu","two their MASK stinks , it would be nice to get some mozzarella sticks on the menu",0
wait staff,wait staff is blantently unappreciative of your business but its the best pie on the uws !,MASK is blantently unappreciative of your business but its the best pie on the uws !,0
pie,wait staff is blantently unappreciative of your business but its the best pie on the uws !,wait staff is blantently unappreciative of your business but its the best MASK on the uws !,2
salad,by far the best salad i have had in a fast food restaurant,by far the best MASK i have had in a fast food restaurant,2
dining,fine dining restaurant quality,fine MASK restaurant quality,2
restaurant,"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt","on a recent sunday afternoon , a friend and i accidently found this great MASK on our way to see the pulitzer prize winning play doubt",2
chicken pot pie,"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm","the MASK is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm",2
cheeseburger,"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm","the chicken pot pie is excpetiona , the MASK huge and delictable , and the service professional wan warm",2
cheeseburger,"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm","the chicken pot pie is excpetiona , the MASK huge and delictable , and the service professional wan warm",2
service,"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm","the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the MASK professional wan warm",2
staff,the staff is no nonsense,the MASK is no nonsense,2
food,the food options rule,the MASK options rule,2
bagels,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else,when i lived upstate for a while i would buy freeze the MASK and they would still be better than any else,2
ave spot,worth visiting the ave spot because it is the original store,worth visiting the MASK because it is the original store,2
uni hand roll,"he served me an uni hand roll , which i never had before , and let me tell you it was heaven !","he served me an MASK , which i never had before , and let me tell you it was heaven !",2
sake menu,the sake menu should not be overlooked !,the MASK should not be overlooked !,2
lobster teriyaki,try the lobster teriyaki and the rose special roll,try the MASK and the rose special roll,2
rose special roll,try the lobster teriyaki and the rose special roll,try the lobster teriyaki and the MASK,2
service,"service was very good prompt , attentive and","MASK was very good prompt , attentive and",2
food,"food was very good as well , considering that we tried the budget selection though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a experience","MASK was very good as well , considering that we tried the budget selection though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a experience",2
pork belly,"food was very good as well , considering that we tried the budget selection though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a experience","food was very good as well , considering that we tried the budget selection though i wish the MASK that i ordered was roasted a bit longer , so that fat was more of a experience",0
wine list selection,wine list selection is good and was generously filled to the top,MASK is good and was generously filled to the top,2
traditional french decour,traditional french decour was pleasant though the hall was rather noisy the restaurant was full and we had to raise our voices to be able to maintain a conversation,MASK was pleasant though the hall was rather noisy the restaurant was full and we had to raise our voices to be able to maintain a conversation,2
hall,traditional french decour was pleasant though the hall was rather noisy the restaurant was full and we had to raise our voices to be able to maintain a conversation,traditional french decour was pleasant though the MASK was rather noisy the restaurant was full and we had to raise our voices to be able to maintain a conversation,0
cafe spice,"i ' ve been to at cafe spice probably times , it is probably still the best indian restaurant around union square","i ' ve been to at MASK probably times , it is probably still the best indian restaurant around union square",2
